2024-12-22, 12:00 20.799999999999997;52.311764705882354
2024-12-22, 13:00 20.57857142857143;50.44285714285714
2024-12-23, 13:00 16.5;74.65
2024-12-23, 14:00 17.45714285714286;69.45714285714286
2024-12-23, 16:00 18.0625;65.41250000000001
2024-12-23, 17:00 20.644444444444446;55.599999999999994
2024-12-23, 19:00 7.6875;63.96666666666667
2024-12-23, 20:00 5.116666666666666;75.31
2024-12-23, 21:00 5.2733333333333325;78.05
2024-12-23, 22:00 4.613333333333333;82.37666666666668
2024-12-23, 23:00 4.466666666666667;82.36999999999999
2024-12-24, 0:00 4.003333333333333;83.46666666666667
2024-12-24, 1:00 3.6033333333333335;85.47666666666667
2024-12-24, 2:00 3.7333333333333334;86.11
2024-12-24, 3:00 3.256666666666667;86.75666666666666
2024-12-24, 4:00 2.796666666666667;87.42333333333333
2024-12-24, 5:00 2.8699999999999997;87.9
2024-12-24, 6:00 3.21;86.97666666666667
2024-12-24, 7:00 3.4566666666666666;85.14666666666668
2024-12-24, 8:00 4.083333333333333;82.32333333333332
2024-12-24, 9:00 4.65;80.3
2024-12-24, 10:00 4.853846153846154;80.48461538461538
2024-12-24, 17:00 5.739130434782608;80.8
2024-12-24, 18:00 6.406666666666666;78.95
2024-12-24, 19:00 6.6033333333333335;79.30666666666666
2024-12-24, 20:00 6.833333333333333;79.5
2024-12-24, 21:00 6.856666666666667;80.97
2024-12-24, 22:00 6.956666666666666;80.66333333333334
2024-12-24, 23:00 7.113333333333333;80.18
2024-12-25, 0:00 7.03;81.63666666666667
2024-12-25, 1:00 6.996666666666667;83.07666666666667
2024-12-25, 2:00 7.036666666666666;84.42
2024-12-25, 3:00 7.15;84.4
2024-12-25, 4:00 7.22;84.8
2024-12-25, 5:00 7.346666666666667;85.05333333333333
2024-12-25, 6:00 7.63;84.73666666666666
2024-12-25, 7:00 7.680000000000001;85.31333333333333
2024-12-25, 8:00 7.803333333333333;85.67333333333333
2024-12-25, 9:00 7.989999999999999;85.8
2024-12-25, 10:00 8.15;86.41666666666667
2024-12-25, 11:00 8.643333333333334;86.09333333333333
2024-12-25, 12:00 9.0;86.20333333333333
2024-12-25, 13:00 9.296666666666669;85.84666666666666
2024-12-25, 14:00 9.296666666666669;87.17
2024-12-25, 15:00 9.32;87.84666666666666
2024-12-25, 16:00 9.723333333333333;85.66666666666667
2024-12-25, 17:00 9.776666666666667;85.47333333333333
2024-12-25, 18:00 9.793333333333333;85.59333333333333
2024-12-25, 19:00 9.816666666666666;86.00666666666666
2024-12-25, 20:00 9.203333333333335;88.10666666666665
2024-12-25, 21:00 9.193333333333333;87.67666666666668
2024-12-25, 22:00 9.430000000000001;86.55
2024-12-25, 23:00 9.17;87.52666666666667
2024-12-26, 0:00 9.146666666666667;87.33666666666666
2024-12-26, 1:00 9.15;86.86
2024-12-26, 2:00 9.353333333333333;86.20666666666666
2024-12-26, 3:00 9.246666666666666;85.72666666666667
2024-12-26, 4:00 9.16;85.64666666666668
2024-12-26, 5:00 8.82;87.25666666666666
2024-12-26, 6:00 9.016666666666667;85.9
2024-12-26, 7:00 9.086666666666666;85.30666666666666
2024-12-26, 8:00 9.139999999999999;84.86666666666666
2024-12-26, 9:00 9.086666666666666;84.58
2024-12-26, 10:00 9.110000000000001;84.67
2024-12-26, 11:00 9.163333333333332;84.01
2024-12-26, 12:00 9.176666666666668;83.11
2024-12-26, 13:00 9.192857142857141;82.90714285714286
2024-12-26, 14:00 19.7;60.06470588235294
