generated_at,date,Temperatur,Luftfeuchtigkeit,Regen
2024-12-04 21:43:58.832597,2024-12-04 00:00:00+00:00,4.5455,92.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 01:00:00+00:00,4.4455,91.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 02:00:00+00:00,4.3954997,92.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 03:00:00+00:00,4.1955,94.0,0.3
2024-12-04 21:43:58.832597,2024-12-04 04:00:00+00:00,4.2454996,93.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 05:00:00+00:00,4.2955,93.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 06:00:00+00:00,4.1955,93.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 07:00:00+00:00,4.1454997,93.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 08:00:00+00:00,4.1955,92.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 09:00:00+00:00,4.2454996,90.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 10:00:00+00:00,4.3954997,87.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 11:00:00+00:00,4.5455,86.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 12:00:00+00:00,4.6454997,84.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 13:00:00+00:00,4.7955,82.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 14:00:00+00:00,4.6955,81.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 15:00:00+00:00,4.3455,83.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 16:00:00+00:00,4.0955,88.0,0.3
2024-12-04 21:43:58.832597,2024-12-04 17:00:00+00:00,3.8955,89.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 18:00:00+00:00,3.9955,90.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 19:00:00+00:00,4.0455,90.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 20:00:00+00:00,3.8955,92.0,0.0
2024-12-04 21:43:58.832597,2024-12-04 21:00:00+00:00,3.7455,94.0,0.1
2024-12-04 21:43:58.832597,2024-12-04 22:00:00+00:00,3.7955,96.0,0.3
2024-12-04 21:43:58.832597,2024-12-04 23:00:00+00:00,4.0455,95.0,0.4
2024-12-04 21:43:58.832597,2024-12-05 00:00:00+00:00,4.1454997,95.0,0.90000004
2024-12-04 21:43:58.832597,2024-12-05 01:00:00+00:00,4.1955,94.0,0.3
2024-12-04 21:43:58.832597,2024-12-05 02:00:00+00:00,4.1955,94.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 03:00:00+00:00,4.1454997,94.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 04:00:00+00:00,4.0455,93.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 05:00:00+00:00,3.7955,91.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 06:00:00+00:00,3.4955,90.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 07:00:00+00:00,3.3455,89.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 08:00:00+00:00,3.1955001,88.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 09:00:00+00:00,3.2455,85.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 10:00:00+00:00,3.2455,82.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 11:00:00+00:00,3.5955,80.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 12:00:00+00:00,3.3955,81.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 13:00:00+00:00,3.1455,83.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 14:00:00+00:00,3.3955,81.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 15:00:00+00:00,3.0955,83.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 16:00:00+00:00,2.5455,86.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 17:00:00+00:00,2.1955001,86.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 18:00:00+00:00,2.0455,83.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 19:00:00+00:00,1.9955001,81.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 20:00:00+00:00,1.8455,79.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 21:00:00+00:00,1.6955,78.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 22:00:00+00:00,1.8955001,75.0,0.0
2024-12-04 21:43:58.832597,2024-12-05 23:00:00+00:00,2.0455,76.0,0.0
